id;nik;nama_karyawan;jabatan
1;architectu;Borders;Frozen Cape Verde
2;Optional;ivory Product Senegal;redundant
3;Managed Ma;technologies Personal Loan Account communities;Infrastructure
4;aggregate ;programming transmit Factors;Plastic
5;Money Mark;Ergonomic compelling;Chicken Somalia
6;Idaho inde;Synergized backing up;partnerships
7;back up by;attitude-oriented;International Steel Chips
8;action-ite;multi-byte Beauty Buckinghamshire;grid-enabled grey
9;synthesize;Licensed program;bus Cross-group Facilitator
10;Soft El Sa;parse web-enabled;service-desk Checking Account
